クラブ,年,所属,id,呼称,ライセンス,順位,勝ち点,PPG,昇降格,営業収入,営業費用,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,総資産,流動資産,固定資産等,総負債,流動負債,固定負債,純資産,資本金,資本剰余金等,利益剰余金,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,事業費,販売費および一般管理費,総入場者数,ホーム総試合数,リーグ平均入場者数,客単価,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数
仙台,2011,J1,vegalta,ベガルタ仙台,,4,56,1.6471,,2097,2038,59,23,1,81,80,44,117,58,59,,1319,924,394,678,568,109,640,453,0,186,682,689,238,67,,421,1007,117,150,71,0,,,693,266144,17,15656,2589,266144,17,0,0,0,0,0,0,,
鹿島,2011,J1,antlers,鹿島アントラーズ,,6,50,1.4706,,4165,4378,-213,28,2,-187,0,46,-233,-13,-220,,2142,847,1295,562,484,78,1580,1570,147,-137,1839,754,252,233,,1087,2066,360,351,144,0,,,1457,294392,20,16156,2561,274655,17,0,0,0,0,19737,3,,
浦和,2011,J1,urawa,浦和レッズ,,15,36,1.0588,,5382,5290,92,8,12,88,0,13,75,14,61,,1297,338,959,921,862,59,376,160,0,216,1821,1918,268,21,,1353,1886,615,364,67,55,,,2302,576477,17,33910,3327,576477,17,0,0,0,0,0,0,,
柏,2011,J1,reysol,柏レイソル,,1,72,2.1176,,3543,3391,152,30,21,161,2,0,163,-1,164,,2094,240,1854,1110,1100,10,984,100,932,-48,1878,496,230,74,,865,1919,153,268,36,0,,,1015,202593,17,11917,2448,202593,17,0,0,0,0,0,0,,
川崎,2011,J1,kawasaki,川崎フロンターレ,,11,44,1.2941,,3275,3212,63,18,0,81,0,0,81,39,42,,962,864,98,381,350,31,581,349,31,201,1738,554,213,157,,613,1587,165,239,95,0,,,1126,294776,17,17340,1879,294776,17,0,0,0,0,0,0,,
横浜FM,2011,J1,fmarinos,横浜F・マリノス,,5,56,1.6471,,3463,3975,-512,1,7,-518,0,67,-585,0,-585,,637,475,162,1685,1544,141,-1048,31,6,-1085,1197,795,254,425,,792,1441,322,405,295,0,,,1511,357647,17,21038,2223,357647,17,0,0,0,0,0,0,,
清水,2011,J1,shimizu,清水エスパルス,,10,45,1.3235,,3118,3191,-73,13,4,-64,0,6,-70,7,-77,,1093,331,762,686,386,299,407,550,0,-142,1228,522,237,295,,836,1376,192,195,127,0,,,1301,268614,17,15801,1943,268614,17,0,0,0,0,0,0,,
名古屋,2011,J1,nagoya,名古屋グランパス,,2,71,2.0882,,4196,4231,-35,28,12,-19,0,48,-67,-2,-65,,692,447,245,338,199,139,354,400,0,-46,2136,814,239,250,,757,2167,316,491,174,0,,,1083,311619,20,16741,2612,284590,17,0,0,0,0,27029,3,,
G大阪,2011,J1,gamba,ガンバ大阪,,3,70,2.0588,,3817,3745,72,92,59,105,0,0,105,58,47,,1318,798,520,1089,1048,41,229,10,0,219,1739,597,223,117,,1141,2010,334,336,80,0,,,985,327730,21,16411,1822,278981,17,0,0,0,0,48749,4,,
C大阪,2011,J1,cerezo,セレッソ大阪,,12,43,1.2647,,2527,2570,-43,0,6,-49,0,5,-54,0,-54,,694,394,300,579,490,89,115,315,0,-200,1361,449,223,20,,474,1185,348,184,56,7,,,790,287157,21,14145,1564,240465,17,0,0,0,0,46692,4,,
神戸,2011,J1,vissel,ヴィッセル神戸,,9,46,1.3529,,2059,2149,-90,42,68,-116,0,16,-132,1,-133,,909,621,288,1865,275,1590,-956,98,561,-1615,708,392,206,219,,534,1010,186,243,100,0,,,610,224962,17,13233,1743,224962,17,0,0,0,0,0,0,,
広島,2011,J1,sanfrecce,サンフレッチェ広島,,7,50,1.4706,,2676,2671,5,4,15,-6,0,0,-6,1,-7,,962,690,272,889,821,68,73,2110,0,-2037,1439,458,232,108,,439,1324,218,250,125,0,,,754,224447,17,13203,2041,224447,17,0,0,0,0,0,0,,
福岡,2011,J1,avispa,アビスパ福岡,,17,22,0.6471,降格,1246,1122,124,17,10,131,106,0,131,1,130,,515,229,286,298,200,98,217,125,196,-104,441,308,207,144,,146,428,101,157,71,0,,,365,177054,17,10415,1740,177054,17,0,0,0,0,0,0,,
山形,2011,J1,montedio,モンテディオ山形,,18,21,0.6176,降格,1239,1268,-27,0,0,-27,0,0,-27,0,-27,,161,133,28,212,122,90,-51,0,0,-51,258,282,222,50,,427,706,97,108,62,0,,,293,158527,17,9325,1779,158527,17,0,0,0,0,0,0,,
大宮,2011,J1,ardija,大宮アルディージャ,,13,42,1.2353,,2775,2770,5,2,6,1,0,0,1,1,0,,976,409,567,966,920,46,10,100,240,-330,1924,325,218,150,,158,1314,313,354,61,0,,,728,154681,17,9099,2101,154681,17,0,0,0,0,0,0,,
甲府,2011,J1,ventforet,ヴァンフォーレ甲府,,16,33,0.9706,降格,1465,1400,65,4,8,61,24,0,85,41,44,,573,409,164,296,271,25,276,367,0,-91,635,421,216,29,,164,671,84,149,17,0,,,479,205808,17,12106,2046,205808,17,0,0,0,0,0,0,,
新潟,2011,J1,albirex,アルビレックス新潟,,14,39,1.1471,,2227,2270,-43,131,9,79,0,0,79,7,72,,922,580,342,541,458,83,381,712,0,-331,919,701,219,118,,270,809,276,256,117,26,,,786,442836,17,26049,1583,442836,17,0,0,0,0,0,0,,
磐田,2011,J1,jubilo,ジュビロ磐田,,8,47,1.3824,,3151,2919,232,31,12,251,0,1,250,64,186,,1182,761,421,659,581,78,523,679,0,-156,1695,424,227,31,,774,1299,323,258,47,0,,,992,200525,17,11796,2114,200525,17,0,0,0,0,0,0,,
札幌,2011,J2,consadole,コンサドーレ札幌,,3,68,1.7895,昇格,1297,1383,-86,115,9,20,1,2,19,2,17,,847,764,83,927,244,683,-80,795,0,-875,399,310,102,41,,445,513,205,166,56,0,,,443,199162,19,10482,1557,199162,19,0,0,0,0,0,0,,
FC東京,2011,J2,fctokyo,FC東京,,1,77,2.0263,昇格,3334,3063,271,10,37,244,0,0,244,105,139,,1698,1346,351,535,535,0,1163,1062,0,101,1336,551,110,355,,982,1427,305,198,239,0,,,894,333680,19,17562,1651,333680,19,0,0,0,0,0,0,,
横浜FC,2011,J2,yokohamafc,横浜FC,,18,41,1.0789,,1046,1027,19,2,4,17,0,1,16,1,15,,287,123,164,261,164,97,27,344,115,-432,643,147,99,31,,126,478,75,149,21,0,,,304,109632,19,5770,1341,109632,19,0,0,0,0,0,0,,
湘南,2011,J2,bellmare,湘南ベルマーレ,,14,46,1.2105,,670,991,-321,14,7,-314,188,4,-130,0,-130,,237,133,104,320,245,75,-83,574,205,-862,227,168,91,0,,184,511,62,70,0,0,,,348,131918,19,6943,1274,131918,19,0,0,0,0,0,0,,
徳島,2011,J2,vortis,徳島ヴォルティス,,4,65,1.7105,,967,936,31,8,2,37,0,2,35,13,22,,623,471,152,167,146,20,456,409,0,47,603,90,97,44,,133,490,45,112,19,0,,,271,98925,19,5207,910,98925,19,0,0,0,0,0,0,,
鳥栖,2011,J2,sagan,サガン鳥栖,,2,69,1.8158,昇格,689,826,-137,37,8,-107,3,252,-357,0,-357,,241,128,114,539,447,92,-298,455,305,-1057,253,166,99,37,,135,353,48,101,20,0,,,304,146893,19,7731,1130,146893,19,0,0,0,0,0,0,,
大分,2011,J2,trinita,大分トリニータ,,12,50,1.3158,,960,843,117,9,4,122,13,0,135,1,134,,200,133,67,1118,736,382,-918,469,68,-1455,392,325,92,59,,92,293,67,107,68,0,,,308,166807,19,8779,1948,166807,19,0,0,0,0,0,0,,
水戸,2011,J2,mitohollyhock,水戸ホーリーホック,,17,42,1.1053,,436,387,49,0,2,47,13,54,6,0,6,,153,144,9,133,103,30,20,77,99,-156,135,60,105,37,,99,152,34,54,8,0,,,139,63637,19,3349,943,63637,19,0,0,0,0,0,0,,
栃木,2011,J2,tochigisc,栃木SC,,10,56,1.4737,,748,804,-56,0,0,-56,0,0,-56,1,-57,,119,91,27,114,108,6,5,243,43,-281,306,113,95,44,,190,332,81,118,26,0,,,248,93848,19,4939,1204,93848,19,0,0,0,0,0,0,,
草津,2011,J2,thespa,ザスパ草津,,9,57,1.5,,562,598,-36,17,3,-22,0,1,-23,1,-24,,78,67,11,180,180,0,-102,185,28,-315,213,78,93,49,,129,204,52,108,51,0,,,183,61018,19,3211,1278,61018,19,0,0,0,0,0,0,,
千葉,2011,J2,jefunited,ジェフユナイテッド千葉,,6,58,1.5263,,2422,2200,222,4,13,213,2,134,81,35,46,,1387,384,1003,1082,582,500,305,490,390,-575,1622,368,108,44,,280,1003,162,216,35,36,,,748,183911,19,9680,2001,183911,19,0,0,0,0,0,0,,
東京V,2011,J2,verdy,東京ヴェルディ,,5,59,1.5526,,1075,1069,6,0,0,6,0,0,6,0,6,,215,188,27,208,196,12,7,242,203,-438,522,182,89,85,,197,300,141,256,38,19,,,315,108482,19,5710,1678,108482,19,0,0,0,0,0,0,,
京都,2011,J2,sanga,京都サンガF.C.,,7,58,1.5263,,2140,1896,244,24,14,254,0,0,254,1,253,,1159,985,174,1134,710,424,25,3605,0,-3580,1395,199,100,131,,315,895,174,156,126,0,,,545,119591,19,6294,1664,119591,19,0,0,0,0,0,0,,
岡山,2011,J2,fagiano,ファジアーノ岡山,,13,48,1.2632,,797,808,-11,0,4,-15,0,0,-15,1,-16,,246,217,29,224,219,5,23,76,14,-67,362,127,93,36,,179,363,57,99,16,0,,,273,137911,19,7258,921,137911,19,0,0,0,0,0,0,,
愛媛,2011,J2,ehimefc,愛媛FC,,15,44,1.1579,,499,504,-5,0,2,-7,0,0,-7,0,-7,,213,150,63,30,30,0,183,209,0,-26,175,53,96,51,,124,206,18,70,8,1,,,201,66022,19,3475,803,66022,19,0,0,0,0,0,0,,
北九州,2011,J2,giravanz,ギラヴァンツ北九州,,8,58,1.5263,,521,584,-63,0,2,-65,0,0,-65,0,-65,,114,63,51,150,100,50,-36,143,0,-179,176,78,91,34,,142,222,49,82,16,0,,,215,76976,19,4051,1013,76976,19,0,0,0,0,0,0,,
町田,2011,JFL,zelvia,FC町田ゼルビア,,3,61,1.8485,昇格,242,280,-38,0,3,-41,0,20,-61,0,-61,,135,102,33,132,54,78,3,142,94,-233,117,30,4,24,,67,90,15,36,0,0,,,139,59757,17,3515,502,59757,17,0,0,0,0,0,0,,
松本,2011,JFL,yamaga,松本山雅FC,,4,59,1.7879,昇格,391,389,2,2,0,4,4,7,2,2,0,,127,111,16,24,22,2,103,105,0,-2,194,74,0,0,,123,128,28,47,0,0,,,185,128900,17,7582,574,128900,17,0,0,0,0,0,0,,
札幌,2012,J1,consadole,コンサドーレ札幌,J1,18,14,0.4118,降格,1347,1468,-121,104,19,-36,0,0,-36,2,-38,,751,678,72,788,340,448,-37,876,0,-913,475,397,209,44,,222,495,254,176,58,0,,,485,222192,20,12008,1787,204141,17,18051,3,0,0,0,0,,
仙台,2012,J1,vegalta,ベガルタ仙台,J1,2,57,1.6765,,2303,2271,32,25,1,56,0,4,52,20,32,,1351,858,493,678,447,231,673,454,0,219,770,764,248,86,,435,1079,132,190,75,26,,,769,316812,21,16600,2412,282200,17,34612,4,0,0,0,0,,
鹿島,2012,J1,antlers,鹿島アントラーズ,J1,11,46,1.3529,,4160,4238,-78,16,5,-67,0,0,-67,1,-68,,2085,737,1348,573,476,97,1512,1570,147,-205,1935,720,247,270,,988,1888,358,302,173,0,,,1517,300903,22,15381,2393,261484,17,39419,5,0,0,0,0,,
浦和,2012,J1,urawa,浦和レッズ,J1,3,55,1.6176,,5353,5202,150,7,5,152,0,0,152,1,151,,1129,303,826,602,528,74,527,160,0,367,2121,1988,267,18,,959,1910,449,412,101,65,,,2265,676303,20,36634,2940,622772,17,53531,3,0,0,0,0,,
柏,2012,J1,reysol,柏レイソル,J1,6,52,1.5294,,3551,3527,24,13,33,4,0,0,4,-6,10,,2456,214,2242,1462,1453,9,994,100,932,-38,1989,576,234,74,,678,2047,174,225,38,0,,,1043,279555,22,13768,2060,234064,17,20437,2,0,0,25054,3,,
FC東京,2012,J1,fctokyo,FC東京,J1,10,48,1.4118,,3865,3622,243,40,4,279,0,0,279,134,145,,1870,1509,361,541,541,0,1329,1064,0,265,1385,817,227,419,,1017,1574,427,337,245,0,,,1039,460302,22,23955,1775,407243,17,20920,2,0,0,32139,3,,
川崎,2012,J1,kawasaki,川崎フロンターレ,J1,8,50,1.4706,,3073,3005,68,2,1,69,0,0,69,36,33,,988,890,98,374,334,40,614,349,31,234,1373,558,214,158,,770,1428,179,235,73,0,,,1090,332483,20,17807,1678,302719,17,29764,3,0,0,0,0,,
横浜FM,2012,J1,fmarinos,横浜F・マリノス,J1,4,53,1.5588,,3717,4217,-500,12,10,-499,0,130,-628,0,-629,,491,480,11,2168,2017,151,-1677,31,0,-1708,1364,783,220,458,,892,1601,331,442,315,0,,,1528,412264,20,22946,1899,390078,17,22186,3,0,0,0,0,,
清水,2012,J1,shimizu,清水エスパルス,J1,9,49,1.4412,,3449,3324,124,37,4,157,0,0,157,27,129,,1098,411,687,561,344,217,537,550,0,-13,1223,623,237,315,,1051,1281,248,215,136,0,,,1444,302756,22,15121,2058,257054,17,45702,5,0,0,0,0,,
名古屋,2012,J1,nagoya,名古屋グランパス,J1,7,52,1.5294,,3993,4287,-295,27,18,-286,0,0,-286,-29,-257,,969,626,343,876,719,157,93,400,0,-307,2145,799,226,275,,548,2009,319,488,208,0,,,1263,316674,21,17155,2523,291632,17,7313,1,0,0,17729,3,,
G大阪,2012,J1,gamba,ガンバ大阪,J1,17,38,1.1176,降格,3285,3352,-67,35,-36,4,0,0,4,0,4,,972,493,479,740,692,48,232,10,0,222,1840,529,232,123,,561,1707,321,267,102,0,,,955,280810,21,14778,1884,251232,17,7083,1,0,0,22495,3,,
C大阪,2012,J1,cerezo,セレッソ大阪,J1,14,42,1.2353,,2618,2546,72,1,4,69,0,6,63,0,63,,722,440,282,543,471,72,179,315,0,-136,1120,495,228,0,,775,969,290,538,0,0,,,749,317611,21,16913,1559,287524,17,30087,4,0,0,0,0,,
神戸,2012,J1,vissel,ヴィッセル神戸,J1,16,39,1.1471,降格,2250,2364,-114,18,14,-110,0,185,-295,1,-296,,788,536,252,2040,350,1690,-1252,98,561,-1911,742,454,202,225,,627,1157,176,264,107,0,,,660,261743,20,14638,1735,248853,17,12890,3,0,0,0,0,,
広島,2012,J1,sanfrecce,サンフレッチェ広島,J1,1,64,1.8824,,3176,2949,227,11,13,225,0,0,225,2,223,,1203,922,281,708,461,247,495,220,52,223,1406,551,239,100,,880,1412,239,254,132,0,,,912,325028,20,17721,1695,301249,17,23779,3,0,0,0,0,,
鳥栖,2012,J1,sagan,サガン鳥栖,J1,5,53,1.5588,,1454,1362,93,41,9,125,0,35,90,0,90,,441,379,62,349,312,37,92,605,454,-967,493,495,202,45,,219,610,116,75,20,0,,,541,220383,20,11991,2246,203844,17,16539,3,0,0,0,0,,
大宮,2012,J1,ardija,大宮アルディージャ,J1,13,44,1.2941,,3344,3348,-4,12,7,1,0,0,1,1,0,,1505,414,1091,1494,853,641,11,100,240,-329,2172,329,208,143,,492,1787,288,387,59,0,,,827,197239,20,10637,1668,180831,17,16408,3,0,0,0,0,,
新潟,2012,J1,albirex,アルビレックス新潟,J1,15,40,1.1765,,2405,2450,-45,134,10,79,0,0,79,35,44,,970,605,365,545,482,63,425,712,0,-287,941,661,220,137,,446,940,281,282,122,34,,,791,451117,20,25018,1465,425309,17,25808,3,0,0,0,0,,
磐田,2012,J1,jubilo,ジュビロ磐田,J1,12,46,1.3529,,3391,3174,217,24,5,236,0,0,236,66,170,,1340,885,455,648,580,68,692,679,0,13,1674,403,233,149,,932,1437,309,253,162,0,,,1013,245303,20,13122,1643,223071,17,22232,3,0,0,0,0,,
